x,y,z,px,py,pz,phi,theta,charge
0.318149,2.482817,20.000000,-0.005433,-0.025178,-0.076683,4.499873,2.817535,1.000000
-1.256900,-4.493419,20.000000,-0.419622,-0.407659,-0.808263,3.912531,2.515058,1.000000
3.605012,-1.080140,20.000000,5.888763,3.053025,-4.554085,0.478298,2.172449,-1.000000
1.335253,-1.699503,20.000000,-0.129594,-0.193452,-0.264593,4.122150,2.419924,-1.000000
-0.916497,1.871616,20.000000,0.006523,0.049208,-0.129929,1.439012,2.776660,-1.000000
-1.564747,0.997580,20.000000,0.746849,0.064640,-1.545650,0.086335,2.690016,1.000000
1.927885,2.702885,20.000000,-1.134214,-0.517087,-6.635321,3.569342,2.955895,-1.000000
3.396438,-4.725098,20.000000,-0.375258,0.313520,-2.179064,2.445588,2.920845,1.000000
-4.112529,-0.926204,20.000000,0.145473,-0.273395,-1.399657,5.201385,2.923840,1.000000
-2.365915,3.835799,20.000000,0.481226,0.281457,-1.175064,0.529224,2.698606,-1.000000
-1.946587,-4.046912,20.000000,0.494578,0.182803,-0.483904,0.354039,2.313324,-1.000000
-4.339324,3.952381,20.000000,-1.393489,0.175724,-0.765563,3.016151,2.069846,1.000000
1.550560,-0.836361,20.000000,0.584751,0.719466,-1.310055,0.888325,2.525717,1.000000
1.918735,-1.914541,20.000000,1.830032,0.066287,-4.725069,0.036206,2.771859,-1.000000
4.714078,-1.357868,20.000000,0.182360,0.281267,-0.793504,0.995580,2.741889,1.000000
-3.531897,2.026057,20.000000,4.167917,-1.026205,-5.426531,6.041772,2.472363,1.000000
0.235792,-1.290580,20.000000,-0.206197,1.098257,-2.780298,1.756385,2.759436,-1.000000
1.449682,-1.779694,20.000000,0.498934,0.436365,-2.589979,0.718600,2.891047,1.000000
3.073358,1.145735,20.000000,0.416995,-0.343384,-0.446174,5.594295,2.261172,1.000000
-4.029923,4.384080,20.000000,-1.203891,0.017294,-1.098445,3.127229,2.310375,-1.000000
3.524304,-0.408855,20.000000,-0.387240,-0.064782,-1.040041,3.307350,2.780627,-1.000000
3.772378,-2.731996,20.000000,-0.094322,-0.139735,-0.442478,4.118636,2.777561,1.000000
2.892257,-2.522891,20.000000,-4.165973,-3.013397,-16.422033,3.767809,2.838170,1.000000
1.728913,1.532601,20.000000,-0.064646,2.501138,-2.263641,1.596637,2.306225,-1.000000
-0.755646,3.060016,20.000000,0.141956,-0.111367,-0.349317,5.617955,2.664819,1.000000
2.053612,0.426869,20.000000,-0.097191,0.503369,-1.041803,1.761530,2.684289,-1.000000
-4.638854,2.224231,20.000000,0.090892,0.087166,-0.713319,0.764475,2.966848,1.000000
0.160863,0.296357,20.000000,-0.026072,0.017494,-0.116861,2.550598,2.879122,-1.000000
4.057689,0.479904,20.000000,-0.133386,-0.795043,-3.499949,4.546165,2.915208,-1.000000
-3.516043,0.824613,20.000000,-5.188468,-0.977228,-5.768544,3.327758,2.400413,-1.000000
2.066771,1.628623,20.000000,-1.743975,0.593629,-6.195566,2.813506,2.852571,-1.000000
1.917843,2.491924,20.000000,-0.703617,0.413362,-1.220569,2.610429,2.552263,-1.000000
1.037605,1.533977,20.000000,-0.124556,-0.247979,-0.700835,4.246917,2.764574,1.000000
4.798851,4.700707,20.000000,0.346634,-0.763699,-1.434373,5.138472,2.612496,1.000000
4.000432,-0.092846,20.000000,-0.017669,-0.013730,-0.061398,3.802199,2.792110,1.000000
-0.255563,-3.544358,20.000000,-0.170163,0.311470,-0.474752,2.070812,2.499634,-1.000000
1.732754,2.733295,20.000000,-10.126893,10.939267,-2.807092,2.317651,1.756923,1.000000
0.487614,-2.747585,20.000000,-15.075890,-41.568834,-24.085556,4.364469,2.069560,-1.000000
-2.342762,3.600870,20.000000,0.537442,0.254688,-0.604389,0.442542,2.364246,1.000000
3.323078,-0.058428,20.000000,0.059025,-0.784001,-1.004070,4.787535,2.477283,1.000000
-0.626523,-3.684393,20.000000,0.094620,0.255497,-0.774658,1.216121,2.803395,1.000000
1.567820,4.658139,20.000000,0.138379,0.049777,-0.259411,0.345303,2.625869,1.000000
2.803217,0.821128,20.000000,-0.998322,0.734175,-1.836882,2.507495,2.548096,1.000000
3.086070,-0.939019,20.000000,-0.466089,0.239999,-0.998178,2.666079,2.657983,1.000000
2.652973,3.263889,20.000000,-0.825928,0.623567,-1.495801,2.494906,2.536349,1.000000
3.415587,3.616291,20.000000,0.017078,-0.630159,-1.713222,4.739483,2.789012,1.000000
-0.561264,4.814961,20.000000,0.262538,0.329460,-0.455749,0.897966,2.395486,1.000000
-1.226966,-2.868289,20.000000,-2.153912,1.439650,-3.968151,2.552399,2.563193,-1.000000
-4.003027,-0.701678,20.000000,-0.834076,-2.070975,-3.696514,4.329518,2.598251,-1.000000
4.322453,-2.233404,20.000000,-2.189483,0.402964,-1.630538,2.959584,2.202946,1.000000
4.153780,0.663714,20.000000,-0.095694,0.569522,-1.021936,1.737267,2.627223,1.000000
-2.011512,-2.316961,20.000000,0.824177,1.041833,-3.618715,0.901516,2.789770,-1.000000
-3.133850,-2.248646,20.000000,-0.038480,-0.140607,-0.364123,4.445259,2.760783,1.000000
-0.023861,-0.143138,20.000000,-1.707823,-2.107556,-5.859409,4.031379,2.708017,-1.000000
1.901613,-2.593842,20.000000,-0.301352,0.177144,-0.550541,2.610169,2.575877,1.000000
2.654894,-1.005667,20.000000,0.090097,-0.190313,-0.228135,5.154544,2.396230,1.000000
3.954803,-3.349518,20.000000,-4.668856,26.535114,-12.389345,1.744964,2.001803,1.000000
3.967984,-0.607217,20.000000,-0.837177,-0.210355,-1.430536,3.387764,2.598669,1.000000
-2.115223,3.965803,20.000000,1.612152,-0.394907,-4.105929,6.042959,2.757429,-1.000000
-2.865930,-4.246969,20.000000,0.150697,0.343982,-0.675929,1.157887,2.634463,-1.000000
-1.784316,-1.603544,20.000000,0.103791,0.128311,-2.095930,0.890654,3.063015,1.000000
3.942655,3.720714,20.000000,0.025522,-0.019790,-0.148650,5.623614,2.927655,-1.000000
-0.731811,-2.187713,20.000000,0.130095,0.212251,-0.936691,1.020923,2.881824,1.000000
3.876996,-1.728921,20.000000,-0.784168,-0.303880,-1.755194,3.511294,2.694769,1.000000
-3.942534,0.079701,20.000000,-1.529064,-6.319384,-6.603721,4.474988,2.363976,-1.000000
-3.091115,-2.511313,20.000000,0.434323,0.215185,-1.865310,0.460000,2.887362,1.000000
-3.597852,2.194835,20.000000,4.206078,-0.652170,-5.725343,6.129356,2.502316,-1.000000
-2.829366,4.174889,20.000000,0.049365,0.087316,-0.247436,1.056234,2.756462,1.000000
-3.535228,2.561618,20.000000,0.458488,-0.121334,-0.521037,6.024477,2.403146,-1.000000
4.650961,2.123474,20.000000,-1.211261,-2.183690,-2.279053,4.205956,2.310567,-1.000000
-2.367316,1.646861,20.000000,1.829772,0.870423,-5.416765,0.444019,2.783637,-1.000000
4.514542,0.942848,20.000000,-1.312831,-1.012311,-4.491187,3.798455,2.787984,1.000000
-2.980582,3.591301,20.000000,0.292698,-5.320588,-4.555175,4.767346,2.278099,1.000000
3.181989,1.936044,20.000000,-1.466332,-0.483989,-4.141991,3.460401,2.784750,-1.000000
4.961977,2.309319,20.000000,0.204092,-0.421256,-2.393491,5.163546,2.948461,1.000000
2.586545,-0.628406,20.000000,3.613443,3.214728,-3.950226,0.727072,2.255672,-1.000000
0.542469,3.916078,20.000000,0.003772,0.331713,-0.905416,1.559426,2.790392,1.000000
-1.635540,0.488793,20.000000,0.055274,0.074793,-0.200278,0.934350,2.706861,-1.000000
-4.930571,2.902041,20.000000,-0.765564,0.120311,-0.986297,2.985714,2.475616,-1.000000
-0.878974,-0.411224,20.000000,-0.081186,0.968992,-0.544264,1.654386,2.081071,-1.000000
1.171172,-3.954568,20.000000,0.519685,-0.613759,-1.631120,5.414978,2.683522,1.000000
1.740687,-4.760276,20.000000,-2.989368,0.491644,-10.608537,2.978588,2.863422,-1.000000
-2.874861,4.009680,20.000000,0.483497,-0.335225,-0.835592,5.676948,2.528120,-1.000000
-3.542362,-0.412758,20.000000,0.923577,-0.736827,-2.431872,5.609789,2.689342,1.000000
-4.603017,2.746028,20.000000,0.101316,0.188930,-0.474748,1.078562,2.717435,1.000000
1.313774,0.801993,20.000000,0.651129,0.701963,-1.189369,0.822949,2.463804,-1.000000
-2.968795,-4.888667,20.000000,2.068070,0.090003,-2.138557,0.043493,2.372476,1.000000
2.918062,0.740000,20.000000,-0.060410,0.176822,-0.414939,1.900009,2.718471,-1.000000
-3.025597,-3.405986,20.000000,-0.857534,-2.953260,-4.092709,4.429792,2.497199,-1.000000
1.698374,2.836439,20.000000,-0.363767,-1.324054,-2.921372,4.444267,2.702212,1.000000
