x,y,z,px,py,pz,phi,theta,charge
0.317193,-2.049508,20.000000,-1.427690,-7.165704,-5.633712,4.515725,2.227634,1.000000
3.605815,-4.410154,20.000000,-0.465776,0.417977,-1.565092,2.410227,2.761205,1.000000
-0.420369,-3.966486,20.000000,-1.832248,1.917827,-3.458413,2.333378,2.487338,1.000000
-1.638137,4.960574,20.000000,0.526331,-1.323925,-1.663413,5.090785,2.433338,1.000000
-4.149246,-2.719917,20.000000,0.727052,-0.789943,-1.869755,5.456354,2.620366,-1.000000
-4.941080,-2.782144,20.000000,2.588531,-2.663258,-6.752134,5.483559,2.638718,1.000000
-2.223764,4.757216,20.000000,0.007083,-0.042998,-0.082182,4.875650,2.654037,-1.000000
1.386381,-0.635349,20.000000,0.344266,0.074911,-0.762975,0.214257,2.708990,-1.000000
-4.629219,0.879018,20.000000,-6.509810,-0.391009,-9.549625,3.201585,2.542428,-1.000000
-3.758014,0.241390,20.000000,-0.286460,-0.598420,-2.357323,4.265931,2.867247,1.000000
3.270508,-4.275612,20.000000,-1.039168,3.048656,-3.010857,1.899306,2.322503,1.000000
0.484923,3.430244,20.000000,-0.893915,-0.944362,-0.931065,3.954427,2.192188,-1.000000
-0.552802,-0.051379,20.000000,0.138196,-0.836182,-1.798956,4.876179,2.701314,1.000000
-0.474153,1.013488,20.000000,-0.965601,0.749788,-1.880445,2.481347,2.565129,1.000000
0.222287,-1.249534,20.000000,-0.895601,2.027534,-1.908686,1.986743,2.281708,-1.000000
-1.962319,1.160439,20.000000,-0.190884,-0.232792,-0.261996,4.025585,2.286950,-1.000000
2.677352,4.895092,20.000000,0.298598,-0.014552,-0.292347,6.234491,2.345024,1.000000
-2.371159,-0.587182,20.000000,0.100070,0.471401,-0.959341,1.361619,2.676083,-1.000000
-4.364322,1.938320,20.000000,33.181797,-2.135800,-19.027278,6.218907,2.090555,-1.000000
0.802016,-2.062806,20.000000,1.840861,2.738418,-0.875388,0.978948,1.830120,1.000000
1.310687,-3.538956,20.000000,0.121421,0.351362,-2.633692,1.238071,3.001367,1.000000
-1.387523,-4.110646,20.000000,-0.197962,-0.041374,-0.631240,3.347625,2.831542,-1.000000
0.684530,3.667269,20.000000,-0.012881,-0.013226,-0.077658,3.940213,2.908192,1.000000
1.289934,4.953190,20.000000,0.325867,0.125596,-0.378124,0.367876,2.395894,1.000000
-2.455598,4.403629,20.000000,-35.114704,-2.614943,-33.565002,3.215924,2.332253,1.000000
