x,y,z,px,py,pz,phi,theta,charge
3.264349,-4.049885,20.000000,0.187026,0.302203,-1.415407,1.016613,2.895588,1.000000
3.084030,2.447441,20.000000,0.431899,-0.993174,-1.771730,5.122588,2.592922,1.000000
-4.855003,2.215847,20.000000,-6.688286,-10.286919,-7.402995,4.135892,2.113667,1.000000
0.136802,-4.382852,20.000000,-0.352384,1.919977,-1.991942,1.752312,2.366310,1.000000
4.206683,-1.946006,20.000000,-1.145757,-0.945888,-1.321285,3.831725,2.297670,1.000000
4.092922,-0.466588,20.000000,0.284100,0.047345,-1.312671,0.165133,2.925601,1.000000
0.290326,3.435183,20.000000,-2.677516,3.316035,-5.321947,2.250061,2.466336,1.000000
-2.612269,4.684462,20.000000,2.079421,-3.234566,-6.008346,5.283739,2.572283,-1.000000
4.900391,2.329753,20.000000,0.238336,-0.007400,-0.752771,6.252148,2.834827,1.000000
3.221809,-0.902706,20.000000,1.326526,-1.404979,-6.119288,5.469074,2.835735,-1.000000
0.954403,1.900902,20.000000,-0.148870,0.697211,-0.855344,1.781159,2.446757,-1.000000
-3.423416,3.199811,20.000000,-0.287849,0.146410,-0.761107,2.671060,2.740308,1.000000
-3.220198,2.037391,20.000000,-1.147694,0.277943,-2.079859,2.903992,2.625213,1.000000
4.683758,4.633967,20.000000,0.576011,-0.183874,-1.697312,5.974191,2.799371,-1.000000
0.619038,4.989172,20.000000,-0.811911,0.060982,-3.492317,3.066624,2.912544,1.000000
2.820190,3.817981,20.000000,0.148396,0.392384,-1.031213,1.209230,2.755230,-1.000000
-1.233757,3.101884,20.000000,-12.032948,5.523755,-3.097905,2.711236,1.800638,-1.000000
-3.613318,-0.753495,20.000000,-0.937798,-4.030431,-2.480651,4.483777,2.110824,1.000000
-2.688609,-1.804166,20.000000,-0.263760,0.044064,-0.726845,2.976061,2.789050,-1.000000
2.436174,-2.195630,20.000000,-0.139461,-0.554802,-1.506545,4.466121,2.778692,-1.000000
-0.840947,-4.685291,20.000000,1.655590,-0.097322,-1.290095,6.224469,2.231911,1.000000
-2.300326,-0.693214,20.000000,0.540974,0.055090,-1.380820,0.101485,2.766440,-1.000000
-3.948143,-3.132953,20.000000,0.114275,-0.032122,-0.336047,6.009167,2.802038,-1.000000
3.075590,-1.495071,20.000000,-0.292451,-0.282769,-0.273706,3.910160,2.163052,-1.000000
-1.124756,3.982153,20.000000,6.805772,-2.303773,-4.694407,5.956789,2.149524,1.000000
-4.674623,-2.375552,20.000000,0.695199,3.178149,-3.468617,1.355445,2.388216,-1.000000
3.833876,-1.951421,20.000000,0.618578,0.426673,-1.503623,0.603823,2.678134,-1.000000
3.595138,-3.957565,20.000000,0.222927,-0.468320,-2.156547,5.156665,2.905566,1.000000
-0.228494,-4.629685,20.000000,-3.271650,-7.212656,-3.094627,4.286547,1.943292,-1.000000
4.993891,1.598479,20.000000,1.205332,1.583024,-3.012526,0.920032,2.557895,1.000000
3.361779,-2.395699,20.000000,-0.044393,0.003463,-0.448255,3.063744,3.042581,-1.000000
3.362592,-1.423827,20.000000,-0.594611,-0.438234,-1.248012,3.776728,2.607176,1.000000
0.982187,-4.182105,20.000000,-0.942082,-1.195315,-3.916527,4.044919,2.770958,-1.000000
0.053738,-3.780925,20.000000,0.519883,-0.236798,-1.252493,5.855782,2.713671,-1.000000
-4.293122,4.526263,20.000000,-2.013424,-1.456653,-4.755733,3.767898,2.660070,-1.000000
-3.069922,-0.261818,20.000000,-0.617181,0.491728,-1.159534,2.468848,2.544041,1.000000
-0.400274,-3.118570,20.000000,-0.065959,0.059916,-0.995623,2.404169,3.052329,-1.000000
1.525272,3.158168,20.000000,-3.410881,32.423810,-25.136038,1.675608,2.227590,-1.000000
-0.826040,-4.404879,20.000000,0.122811,-0.293987,-0.278287,5.108096,2.288747,-1.000000
