x,y,z,px,py,pz,phi,theta,charge
-4.177764,-1.300427,20.000000,-0.048629,0.044888,-0.072606,2.396169,2.402472,1.000000
-0.985015,2.182959,20.000000,3.518662,3.544782,-5.720447,0.789096,2.423828,1.000000
3.834752,0.671540,20.000000,0.184896,-0.027546,-0.897782,6.135293,2.936305,1.000000
-4.327574,-0.947348,20.000000,-0.061675,-0.746697,-0.993627,4.629979,2.495508,1.000000
1.020587,-2.861643,20.000000,1.305877,-1.117192,-2.596296,5.575501,2.556879,1.000000
1.217998,4.785517,20.000000,-0.278615,-0.044940,-1.113197,3.301513,2.893305,-1.000000
2.068388,-1.879156,20.000000,0.078425,-0.216219,-0.545376,5.060343,2.742492,-1.000000
2.936041,3.841244,20.000000,-2.881414,-4.783031,-3.345016,4.170189,2.110514,1.000000
-3.083346,-2.277409,20.000000,0.524597,0.379373,-2.414159,0.626108,2.879589,-1.000000
0.605976,-3.985177,20.000000,0.171661,0.243139,-0.860652,0.956042,2.808646,-1.000000
-1.656128,2.568057,20.000000,0.672411,-0.065693,-1.768013,6.185797,2.776585,-1.000000
-0.971230,-0.753768,20.000000,-3.327339,-0.035641,-3.431345,3.152304,2.371553,-1.000000
-2.968251,4.058317,20.000000,0.195836,-0.153803,-0.623232,5.617433,2.761475,1.000000
-2.081360,0.807084,20.000000,2.598731,-2.095280,-4.425859,5.604632,2.495377,1.000000
0.994633,-4.652496,20.000000,1.038399,0.246818,-1.216648,0.233361,2.421478,1.000000
0.733963,-0.944179,20.000000,-0.236825,-1.475143,-3.410469,4.553204,2.728702,-1.000000
-4.654399,-4.989513,20.000000,0.070182,-0.102942,-0.364150,5.310769,2.811938,1.000000
0.383880,4.607366,20.000000,0.112886,-0.205677,-0.418231,5.214347,2.630358,-1.000000
-2.634912,-1.427223,20.000000,-0.135795,0.064099,-0.154491,2.700568,2.370400,-1.000000
-0.721351,-4.834172,20.000000,-0.047396,-0.273466,-1.540887,4.540776,2.963385,1.000000
-3.256251,-3.207018,20.000000,0.049725,-0.108415,-0.238807,5.142418,2.678379,-1.000000
-4.527950,-3.929131,20.000000,-0.361277,-0.853442,-1.015291,4.311944,2.401749,-1.000000
1.528092,-4.353262,20.000000,-0.250295,2.651300,-6.388419,1.664922,2.746635,1.000000
-3.142829,4.957656,20.000000,2.552531,-4.440828,-3.414714,5.234063,2.158792,1.000000
-4.915345,0.066638,20.000000,-4.629556,-1.899361,-4.251512,3.530920,2.275068,-1.000000
-2.018107,0.558307,20.000000,-0.448800,0.114907,-1.286370,2.890946,2.795911,1.000000
-1.082235,0.022266,20.000000,0.087054,-0.266661,-0.415624,5.027942,2.547902,-1.000000
-4.550373,2.676527,20.000000,0.005425,-0.006613,-0.114002,5.399398,3.066706,1.000000
-4.391401,-4.699167,20.000000,-1.679898,-0.302349,-1.614460,3.319667,2.328372,1.000000
-0.686222,0.691212,20.000000,0.742991,0.128225,-1.704845,0.170896,2.725199,1.000000
-0.128992,0.862964,20.000000,0.005279,0.531033,-0.491551,1.560856,2.317579,1.000000
3.343378,-3.355129,20.000000,0.154861,0.525594,-1.623655,1.284264,2.816125,1.000000
0.115855,-2.360289,20.000000,2.099458,-2.885858,-3.373394,5.341333,2.328063,1.000000
-0.790134,-0.260575,20.000000,-2.754668,-1.572237,-5.699750,3.660230,2.633792,-1.000000
-2.569702,1.681736,20.000000,-1.160621,0.061942,-0.572652,3.088273,2.028587,-1.000000
-1.816832,-3.254803,20.000000,-0.078185,-0.102197,-0.496711,4.059331,2.888113,-1.000000
0.504465,3.322469,20.000000,0.675969,0.262280,-0.917948,0.370125,2.473053,1.000000
4.165713,-1.659496,20.000000,3.089771,0.530001,-2.980426,0.169881,2.330940,-1.000000
4.135970,0.827620,20.000000,-4.567415,3.703179,-8.224559,2.460312,2.520913,-1.000000
-0.236618,-2.103647,20.000000,-5.693403,-7.902145,-12.169446,4.088044,2.466652,-1.000000
-3.287378,-4.881773,20.000000,-0.162933,-0.892809,-0.934716,4.531881,2.370937,1.000000
-4.368920,-1.974082,20.000000,4.080130,-0.719715,-8.262832,6.108586,2.676812,1.000000
4.010344,-2.591072,20.000000,-1.062401,-0.952480,-3.955176,3.872490,2.795368,1.000000
-3.121039,-3.318018,20.000000,0.069694,-0.460953,-0.894221,4.862449,2.661020,-1.000000
4.277063,-3.868812,20.000000,0.993060,0.489191,-0.957657,0.457718,2.283982,1.000000
-2.834308,1.873518,20.000000,4.224815,1.980358,-17.193229,0.438332,2.876593,-1.000000
-2.863652,-0.698299,20.000000,-0.186493,0.050905,-0.542367,2.875124,2.799202,1.000000
-1.036103,-3.615859,20.000000,-1.988921,-4.449898,-6.045655,4.292067,2.463068,-1.000000
3.869159,-3.997962,20.000000,-0.009356,-0.223954,-0.987609,4.670637,2.918411,1.000000
-0.420259,2.805430,20.000000,0.923232,-1.419571,-2.989221,5.289017,2.626173,1.000000
-2.423622,-1.834835,20.000000,1.230888,-1.129209,-2.950687,5.540843,2.626471,1.000000
2.553606,2.183125,20.000000,0.366919,-0.361852,-1.327920,5.504741,2.771409,-1.000000
3.114470,2.559112,20.000000,0.105411,0.566547,-1.867064,1.386842,2.842219,1.000000
0.517080,3.989009,20.000000,0.173235,-3.059426,-12.725216,4.768952,2.905284,-1.000000
-0.906382,-3.739374,20.000000,-0.844858,-0.449969,-2.341993,3.630976,2.753594,-1.000000
1.114360,2.678743,20.000000,-0.094191,-0.620663,-11.731792,4.561779,3.088134,1.000000
-0.852172,-2.438177,20.000000,0.470132,-0.848682,-0.689978,5.218264,2.188981,-1.000000
-2.001849,0.382371,20.000000,0.152765,-0.168056,-1.549326,5.450162,2.996041,-1.000000
-3.984096,0.675358,20.000000,-0.451493,-3.822753,-2.132542,4.594827,2.076709,1.000000
-1.595209,-3.333091,20.000000,-2.855045,-3.645850,-2.892232,4.048042,2.129091,-1.000000
3.616821,-1.520884,20.000000,0.027535,0.052647,-0.451906,1.088907,3.010870,-1.000000
1.519531,-0.366754,20.000000,-0.036154,0.704339,-0.507082,1.622081,2.194156,1.000000
0.219986,-3.830072,20.000000,0.402478,-0.103486,-1.831962,6.031515,2.918524,-1.000000
-0.792443,-1.455696,20.000000,-1.021052,-0.073729,-1.569757,3.213676,2.563711,-1.000000
-0.100003,-1.435122,20.000000,-3.879107,-5.106492,-7.736057,4.062745,2.449449,1.000000
-1.936454,-2.894206,20.000000,-1.529391,-0.556297,-2.971203,3.490453,2.640493,1.000000
-4.475042,-4.327436,20.000000,-0.369223,-1.281542,-1.046878,4.431877,2.236299,-1.000000
-1.462483,-0.506163,20.000000,0.643109,-1.292009,-4.282348,5.174242,2.816532,1.000000
3.647550,-2.713537,20.000000,8.403257,5.090812,-20.701254,0.544684,2.698463,1.000000
0.488196,-2.957531,20.000000,-0.023926,-0.197431,-0.986188,4.591789,2.942600,1.000000
1.651369,1.483067,20.000000,-0.118201,0.779361,-0.834789,1.721314,2.384845,-1.000000
2.861302,-1.756492,20.000000,-0.438435,0.306106,-1.348001,2.532090,2.763954,-1.000000
-2.674567,4.607757,20.000000,0.318335,-0.214954,-0.723682,5.689268,2.653629,-1.000000
-0.941720,2.733172,20.000000,-0.418270,0.469790,-0.884462,2.298244,2.523405,1.000000
-1.327588,-3.483480,20.000000,-0.019579,-1.097680,-3.552189,4.694554,2.841841,-1.000000
1.361118,1.811199,20.000000,0.004103,0.076212,-0.119255,1.517015,2.572284,1.000000
4.820840,-4.854674,20.000000,-0.207885,0.349197,-0.765911,2.107771,2.653765,1.000000
-2.673013,-4.882192,20.000000,0.001624,0.072828,-0.862937,1.548494,3.057376,1.000000
2.204662,4.596775,20.000000,-0.195937,-0.610176,-0.553440,4.401675,2.283125,-1.000000
2.650641,3.201135,20.000000,-0.048224,0.099862,-0.528613,2.020674,2.934805,1.000000
-4.229564,-3.467529,20.000000,0.154314,1.540050,-1.479424,1.470929,2.333624,-1.000000
2.902360,1.580719,20.000000,-0.946809,-0.870111,-6.137943,3.884803,2.935079,1.000000
-1.946157,3.962787,20.000000,-0.124140,1.550594,-17.414722,1.650686,3.052505,-1.000000
4.933160,-4.329716,20.000000,0.060642,-0.253871,-0.196545,4.946865,2.216221,1.000000
1.295758,0.375757,20.000000,1.041853,1.240855,-1.435871,0.872356,2.295940,1.000000
-0.633896,-3.268115,20.000000,0.766253,-0.394501,-1.533894,5.807733,2.629685,-1.000000
-4.810386,-4.027149,20.000000,-0.238245,-0.213827,-0.801039,3.873030,2.761394,-1.000000
4.452216,1.639714,20.000000,0.210059,-0.187327,-0.738292,5.554929,2.777378,1.000000
-3.925444,-0.821546,20.000000,-2.643468,-1.797784,-3.246252,3.738828,2.363859,-1.000000
-1.395023,-0.486318,20.000000,-1.348323,0.671230,-2.135483,2.679686,2.527316,-1.000000
-0.262445,0.092630,20.000000,-0.471068,1.805129,-1.888103,1.826064,2.362194,1.000000
2.351638,2.263948,20.000000,0.160156,-0.171525,-0.679217,5.463526,2.808930,1.000000
-4.354359,1.526169,20.000000,-0.044604,0.866375,-0.662230,1.622234,2.222791,1.000000
3.037573,0.826527,20.000000,0.049427,-0.199561,-0.473006,4.955182,2.731579,-1.000000
-0.089575,-4.871797,20.000000,0.328014,-0.313456,-0.450069,5.520477,2.352172,-1.000000
-2.703025,1.074643,20.000000,0.027753,0.056618,-0.154795,1.115041,2.754775,-1.000000
-0.079658,1.447867,20.000000,0.365889,0.263682,-1.522094,0.624459,2.853530,-1.000000
-0.748388,1.589848,20.000000,0.533329,-1.788202,-2.622995,5.002238,2.523246,-1.000000
1.459374,1.620496,20.000000,0.266204,-0.249328,-0.685950,5.530510,2.652894,1.000000
-0.364850,-0.989288,20.000000,-3.073770,-1.113399,-8.437619,3.489117,2.771946,-1.000000
